,"2016","2016"
,"Mean BMI (kg/m&#xb2;) (age-standardized estimate)","Mean BMI (kg/m&#xb2;) (age-standardized estimate)"
,"18+  years","18+  years"
"Countries, territories and areas","Male","Female"
"Afghanistan","22.6 [20.1-25.1]","24.1 [23.0-25.3]"
"Albania","27.0 [25.8-28.2]","26.3 [25.0-27.6]"
"Algeria","24.7 [23.4-26.1]","26.4 [24.9-27.8]"
"Andorra","27.3 [24.8-29.8]","26.1 [22.8-29.5]"
"Angola","22.3 [19.7-25.0]","24.3 [20.9-27.7]"
"Antigua and Barbuda","25.7 [23.2-28.2]","27.7 [24.4-31.0]"
"Argentina","27.8 [26.6-29.0]","27.6 [26.3-28.8]"
"Armenia","25.6 [24.8-26.3]","27.0 [26.1-27.8]"
"Australia","27.6 [26.9-28.2]","26.7 [26.0-27.4]"
"Austria","26.5 [24.8-28.2]","24.6 [22.6-26.5]"
"Azerbaijan","26.1 [24.7-27.5]","27.9 [26.3-29.4]"
"Bahamas","27.1 [24.7-29.7]","28.8 [25.4-32.1]"
"Bahrain","24.8 [23.4-26.2]","24.8 [23.2-26.2]"
"Bangladesh","21.3 [20.7-21.9]","22.0 [21.4-22.6]"
"Barbados","26.4 [25.3-27.4]","29.2 [28.1-30.4]"
"Belarus","26.4 [25.7-27.2]","26.6 [25.8-27.5]"
"Belgium","26.6 [25.9-27.3]","25.6 [24.8-26.4]"
"Belize","27.5 [26.0-29.1]","30.5 [28.9-32.2]"
"Benin","22.6 [21.4-23.8]","24.5 [23.5-25.4]"
"Bhutan","23.5 [22.7-24.2]","24.5 [23.6-25.4]"
"Bolivia","25.3 [23.6-26.9]","27.7 [26.4-29.1]"
"Bosnia and Herzegovina","26.4 [25.3-27.5]","25.1 [23.8-26.4]"
"Botswana","22.5 [21.7-23.3]","26.1 [25.2-27.0]"
"Brazil","26.3 [25.7-26.9]","26.8 [26.2-27.5]"
"Brunei Darussalam","27.2 [26.5-27.8]","27.2 [26.4-27.9]"
"Bulgaria","27.1 [25.7-28.6]","25.7 [24.0-27.3]"
"Burkina Faso","22.2 [21.4-23.1]","22.1 [21.3-22.9]"
"Burundi","21.8 [19.3-24.2]","21.6 [20.3-22.9]"
"Cote d'Ivoire","23.4 [22.0-24.7]","24.2 [23.1-25.2]"
"Cabo Verde","23.7 [22.4-25.0]","25.3 [23.8-26.8]"
"Cambodia","22.1 [21.0-23.1]","22.3 [21.6-23.1]"
"Cameroon","23.6 [22.0-25.1]","25.1 [24.2-26.0]"
"Canada","27.3 [26.7-27.9]","26.6 [26.0-27.2]"
"Central African Republic","22.0 [20.2-23.7]","23.7 [21.9-25.5]"
"Chad","21.9 [20.2-23.7]","21.9 [21.0-22.9]"
"Chile","27.8 [26.8-28.8]","28.1 [27.1-29.3]"
"China","24.2 [23.6-24.7]","23.5 [22.9-24.1]"
"Colombia","25.8 [25.0-26.7]","26.6 [25.7-27.4]"
"Comoros","23.3 [22.3-24.2]","25.6 [24.7-26.5]"
"Congo","22.3 [20.4-24.2]","24.1 [23.1-25.1]"
"Cook Islands","32.7 [31.7-33.7]","33.1 [32.1-34.2]"
"Costa Rica","26.8 [25.9-27.6]","27.9 [27.0-28.7]"
"Croatia","28.0 [27.0-28.9]","26.8 [25.6-28.0]"
"Cuba","25.2 [24.2-26.2]","26.0 [25.0-27.1]"
"Cyprus","27.5 [25.8-29.2]","26.0 [24.0-28.0]"
"Czechia","27.9 [26.8-29.1]","26.2 [25.0-27.4]"
"Democratic People's Republic of Korea","24.2 [21.6-26.9]","24.0 [20.4-27.6]"
"Democratic Republic of the Congo","21.3 [19.4-23.3]","22.6 [21.7-23.5]"
"Denmark","26.2 [25.6-26.7]","24.4 [23.4-25.5]"
"Djibouti","23.4 [21.0-25.9]","24.6 [21.3-28.0]"
"Dominica","25.0 [23.6-26.3]","29.0 [27.5-30.5]"
"Dominican Republic","25.5 [24.7-26.4]","27.4 [26.3-28.4]"
"Ecuador","26.6 [25.7-27.5]","27.9 [26.8-29.0]"
"Egypt","27.8 [27.1-28.4]","31.4 [30.8-32.0]"
"El Salvador","26.8 [25.0-28.8]","28.3 [27.0-29.6]"
"Equatorial Guinea","22.3 [19.6-25.0]","25.9 [24.7-27.2]"
"Eritrea","20.2 [19.2-21.3]","21.1 [20.0-22.2]"
"Estonia","26.9 [26.2-27.6]","25.9 [25.1-26.6]"
"Eswatini","24.5 [23.6-25.3]","28.9 [28.0-29.9]"
"Ethiopia","20.1 [19.0-21.0]","21.1 [20.0-22.2]"
"Fiji","26.6 [25.7-27.6]","28.8 [27.8-29.8]"
"Finland","26.4 [25.7-27.0]","25.5 [24.8-26.2]"
"France","25.9 [24.9-26.9]","24.2 [23.1-25.3]"
"Gabon","24.0 [22.2-25.8]","26.5 [25.4-27.6]"
"Gambia","23.4 [22.3-24.6]","24.5 [23.6-25.4]"
"Georgia","27.5 [26.8-28.1]","27.6 [26.9-28.3]"
"Germany","27.3 [26.5-28.1]","25.8 [24.9-26.8]"
"Ghana","22.5 [21.8-23.2]","25.2 [24.5-26.0]"
"Greece","27.5 [26.3-28.6]","26.7 [25.2-28.1]"
"Grenada","25.2 [24.1-26.3]","28.8 [27.5-30.0]"
"Guatemala","25.7 [24.1-27.3]","27.3 [26.5-28.1]"
"Guinea","22.4 [20.8-24.0]","23.4 [22.3-24.4]"
"Guinea-Bissau","22.8 [20.3-25.2]","24.0 [22.7-25.4]"
"Guyana","25.1 [23.8-26.3]","27.7 [26.3-29.1]"
"Haiti","26.5 [24.1-28.9]","24.2 [23.1-25.3]"
"Honduras","25.9 [24.0-27.7]","27.6 [26.7-28.6]"
"Hungary","28.2 [26.6-29.8]","26.4 [24.1-28.8]"
"Iceland","27.0 [26.0-28.0]","25.5 [24.3-26.6]"
"India","21.7 [21.2-22.3]","21.9 [21.3-22.5]"
"Indonesia","22.5 [21.9-23.1]","23.8 [23.1-24.5]"
"Iran","25.2 [24.7-25.8]","27.0 [26.4-27.6]"
"Iraq","27.8 [27.0-28.5]","29.7 [28.9-30.5]"
"Ireland","27.9 [27.0-28.8]","27.0 [26.0-28.0]"
"Israel","27.6 [26.6-28.7]","26.9 [25.6-28.3]"
"Italy","26.5 [25.8-27.2]","24.7 [23.9-25.4]"
"Jamaica","25.8 [24.6-27.0]","29.6 [28.3-30.9]"
"Japan","23.6 [23.1-24.0]","21.8 [21.3-22.3]"
"Jordan","28.3 [27.7-28.9]","29.8 [29.2-30.4]"
"Kazakhstan","26.3 [25.4-27.1]","26.4 [25.5-27.4]"
"Kenya","22.1 [21.4-22.9]","24.5 [23.8-25.2]"
"Kiribati","29.0 [27.4-30.6]","31.1 [29.3-32.8]"
"Kuwait","29.0 [28.3-29.7]","30.4 [29.7-31.2]"
"Kyrgyzstan","25.9 [25.0-26.8]","27.2 [26.4-28.0]"
"Lao People's Democratic Republic","22.7 [21.9-23.6]","23.1 [22.2-24.0]"
"Latvia","27.0 [25.8-28.2]","26.2 [24.9-27.4]"
"Lebanon","27.9 [26.8-29.1]","27.4 [26.1-28.6]"
"Lesotho","22.7 [22.0-23.4]","27.0 [26.2-27.7]"
"Liberia","23.1 [22.3-23.9]","25.1 [24.2-26.0]"
"Libya","26.9 [25.7-28.0]","29.2 [27.9-30.5]"
"Lithuania","27.0 [25.6-28.4]","25.8 [24.3-27.3]"
"Luxembourg","27.0 [25.8-28.2]","25.6 [24.2-26.9]"
"Madagascar","21.5 [19.8-23.2]","21.1 [19.9-22.3]"
"Malawi","22.6 [21.4-23.7]","23.2 [22.5-23.9]"
"Malaysia","25.3 [24.8-25.8]","26.1 [25.6-26.7]"
"Maldives","24.6 [23.6-25.7]","26.3 [25.3-27.3]"
"Mali","22.9 [21.2-24.6]","23.1 [22.1-24.0]"
"Malta","27.7 [25.6-29.8]","26.3 [23.6-29.0]"
"Marshall Islands","28.8 [27.1-30.4]","30.4 [28.5-32.2]"
"Mauritania","23.2 [21.4-25.0]","26.6 [24.8-28.2]"
"Mauritius","24.6 [23.4-25.6]","25.9 [24.7-27.0]"
"Mexico","27.5 [27.0-27.9]","28.4 [27.8-28.9]"
"Micronesia","28.1 [26.8-29.4]","31.4 [30.0-32.7]"
"Monaco","No data","No data"
"Mongolia","25.9 [25.1-26.6]","26.6 [25.7-27.4]"
"Montenegro","27.0 [25.1-28.8]","26.1 [23.3-28.8]"
"Morocco","25.4 [23.8-27.0]","26.5 [25.0-28.0]"
"Mozambique","22.0 [21.3-22.7]","23.4 [22.6-24.2]"
"Myanmar","22.2 [21.3-23.1]","23.0 [22.3-23.7]"
"Namibia","22.9 [21.6-24.2]","25.3 [24.5-26.2]"
"Nauru","32.2 [30.7-33.6]","32.7 [31.2-34.3]"
"Nepal","22.5 [21.8-23.3]","22.5 [21.7-23.2]"
"Netherlands","26.0 [25.1-26.8]","25.1 [24.2-26.1]"
"New Zealand","28.1 [27.8-28.5]","28.0 [27.5-28.4]"
"Nicaragua","26.5 [24.6-28.4]","27.9 [26.6-29.3]"
"Niger","21.4 [20.0-22.7]","22.3 [21.4-23.3]"
"Nigeria","22.5 [21.5-23.6]","23.9 [23.1-24.7]"
"Niue","31.4 [30.3-32.5]","33.3 [32.1-34.6]"
"North Macedonia","27.3 [24.9-29.7]","26.2 [24.0-28.4]"
"Norway","27.3 [26.0-28.6]","26.1 [24.7-27.5]"
"Oman","26.4 [25.2-27.5]","26.3 [25.0-27.6]"
"Pakistan","23.3 [22.5-24.1]","24.6 [23.9-25.4]"
"Palau","29.5 [28.5-30.4]","29.6 [28.4-30.7]"
"Panama","26.2 [24.9-27.5]","27.7 [26.3-29.1]"
"Papua New Guinea","25.3 [24.0-26.7]","26.0 [24.4-27.5]"
"Paraguay","26.5 [23.9-29.2]","26.9 [23.4-30.4]"
"Peru","26.2 [25.7-26.7]","27.1 [26.6-27.6]"
"Philippines","22.8 [21.9-23.7]","23.5 [22.5-24.4]"
"Poland","27.4 [26.9-27.9]","25.9 [25.4-26.5]"
"Portugal","26.1 [25.1-27.1]","25.1 [24.0-26.2]"
"Qatar","28.8 [27.9-29.7]","30.1 [29.1-31.1]"
"South Korea","24.4 [24.1-24.7]","23.1 [22.7-23.5]"
"Republic of Moldova","26.6 [25.7-27.5]","27.3 [26.4-28.2]"
"Romania","27.0 [26.5-27.6]","26.8 [26.1-27.4]"
"Russia","25.8 [25.1-26.6]","26.4 [25.5-27.3]"
"Rwanda","21.3 [20.7-21.8]","22.8 [22.1-23.5]"
"Saint Kitts and Nevis","28.2 [26.4-30.0]","30.7 [28.6-32.7]"
"Saint Lucia","29.6 [28.6-30.6]","30.4 [29.2-31.5]"
"Saint Vincent and the Grenadines","26.3 [23.9-28.8]","28.2 [24.9-31.5]"
"Samoa","30.4 [29.6-31.2]","34.1 [33.1-35.0]"
"San Marino","No data","No data"
"Sao Tome and Principe","23.9 [22.8-24.9]","25.6 [24.4-26.7]"
"Saudi Arabia","28.0 [27.2-28.7]","29.2 [28.5-30.0]"
"Senegal","21.8 [20.8-22.8]","24.0 [22.9-25.0]"
"Serbia","26.6 [26.0-27.2]","25.5 [24.6-26.4]"
"Seychelles","25.5 [24.7-26.4]","27.9 [27.0-28.9]"
"Sierra Leone","21.9 [21.0-22.7]","23.5 [22.6-24.4]"
"Singapore","24.3 [23.5-25.0]","23.0 [22.2-23.8]"
"Slovakia","27.3 [26.5-28.2]","25.5 [24.6-26.5]"
"Slovenia","26.6 [24.9-28.2]","26.5 [24.1-29.0]"
"Solomon Islands","25.7 [25.0-26.4]","26.9 [26.1-27.8]"
"Somalia","22.5 [20.0-25.0]","23.9 [20.6-27.1]"
"RSA","25.0 [24.3-25.6]","29.3 [28.7-30.0]"
"South Sudan","No data","No data"
"Spain","27.0 [26.3-27.6]","24.8 [24.0-25.5]"
"Sri Lanka","22.5 [21.8-23.3]","23.7 [22.8-24.5]"
"Sudan","No data","No data"
"Sudan","23.1 [21.5-24.8]","25.9 [24.0-28.0]"
"Suriname","25.4 [24.0-26.7]","27.7 [26.0-29.3]"
"Sweden","26.7 [25.8-27.6]","25.4 [24.3-26.5]"
"Switzerland","26.7 [26.0-27.3]","23.7 [22.3-25.1]"
"Syrian Arab Republic","27.4 [25.9-28.9]","29.2 [27.4-30.9]"
"Turkey","27.1 [26.5-27.6]","28.6 [28.0-29.2]"
"Tajikistan","25.8 [25.1-26.6]","26.3 [25.5-27.0]"
"Thailand","23.9 [22.8-24.9]","25.0 [23.9-26.0]"
"Timor-Leste","21.3 [20.5-22.1]","21.3 [20.5-22.1]"
"Togo","22.5 [21.5-23.6]","24.5 [23.6-25.4]"
"Tonga","30.5 [29.5-31.6]","33.7 [32.6-34.9]"
"Trinidad and Tobago","26.6 [24.8-28.3]","28.6 [26.5-30.6]"
"Tunisia","25.5 [24.4-26.7]","27.1 [25.7-28.4]"
"Turkmenistan","26.5 [25.7-27.3]","26.6 [25.6-27.5]"
"Tuvalu","30.0 [27.8-32.2]","31.6 [28.6-34.4]"
"Uganda","21.6 [20.9-22.3]","23.3 [22.5-24.1]"
"Ukraine","26.9 [24.4-29.5]","26.2 [24.2-28.2]"
"United Arab Emirates","28.0 [26.4-29.6]","29.4 [27.6-31.1]"
"United Kingdom","27.3 [26.9-27.7]","27.0 [26.6-27.4]"
"United Republic of Tanzania","22.3 [21.5-23.1]","24.1 [23.4-24.7]"
"USA","28.8 [28.3-29.4]","28.9 [28.3-29.5]"
"Uruguay","27.3 [26.2-28.5]","27.3 [26.0-28.6]"
"Uzbekistan","26.3 [25.5-27.1]","27.4 [26.5-28.3]"
"Vanuatu","25.6 [24.5-26.6]","26.8 [25.7-27.9]"
"Venezuela","26.6 [25.9-27.3]","26.8 [26.0-27.5]"
"Vietnam","21.9 [21.4-22.5]","21.9 [21.3-22.5]"
"Yemen","23.6 [22.5-24.7]","24.1 [23.2-24.9]"
"Zambia","21.3 [19.8-22.9]","23.7 [22.9-24.6]"
"Zimbabwe","22.2 [21.6-22.8]","25.3 [24.6-26.0]"
